Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1	Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17848563.0	0.0	150.0	52.0	36.77460625208386	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_2	Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17848563.0	0.0	150.0	52.0	38.338231201634116	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1	Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12494532.0	0.0	150.0	54.0	37.83795955584453	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_2	Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12494532.0	0.0	150.0	54.0	39.61621647665261	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1	Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15991144.0	0.0	150.0	56.0	33.57689763112575	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_2	Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15991144.0	0.0	150.0	55.0	36.1378824040179	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1	Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21298940.0	0.0	150.0	59.0	29.14227506219716	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_2	Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21298940.0	0.0	150.0	59.0	31.98732307712564	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1	Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19305674.0	0.0	150.0	57.0	31.390340115529657	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_2	Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19305674.0	0.0	150.0	57.0	33.16317412765282	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_1	Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13376043.0	0.0	150.0	53.0	37.22543119457428	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_2	Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13376043.0	0.0	150.0	52.0	39.9059752395293	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1	Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15620283.0	0.0	150.0	57.0	34.73368123303355	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_2	Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15620283.0	0.0	150.0	58.0	37.226141187481076	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1	Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18015767.0	0.0	150.0	54.0	37.90884985843733	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_2	Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18015767.0	0.0	150.0	53.0	40.285923319882144	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1	Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16481842.0	0.0	150.0	53.0	33.945815767129325	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_2	Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16481842.0	0.0	150.0	52.0	36.79275724935373	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1	Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16644251.0	0.0	150.0	52.0	39.678335223721476	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_2	Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16644251.0	0.0	150.0	51.0	41.78431391009969	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1	Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15885302.0	0.0	150.0	50.0	45.68292618527733	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_2	Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15885302.0	0.0	150.0	50.0	46.992001472464864	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1	Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17371903.0	0.0	150.0	53.0	34.747484430316746	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_2	Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17371903.0	0.0	150.0	53.0	36.63884685106646	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1	Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18424293.0	0.0	150.0	55.0	32.999515658104364	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_2	Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18424293.0	0.0	150.0	54.0	35.13605655780074	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1	Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16746701.0	0.0	150.0	53.0	40.73447439620226	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_2	Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16746701.0	0.0	150.0	53.0	42.381954280774366	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1	Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21135592.0	0.0	150.0	57.0	32.41056171927422	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_2	Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21135592.0	0.0	150.0	57.0	34.34733562555168	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1	brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11633159.0	0.0	150.0	54.0	51.12973111932138	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_2	brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11633159.0	0.0	150.0	54.0	51.07926089148249	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	fail	fail
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1	brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10837613.0	0.0	150.0	54.0	47.709018064951245	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_2	brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10837613.0	0.0	150.0	54.0	48.048786742707755	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1	brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11984073.0	0.0	150.0	54.0	49.642542450553044	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_2	brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11984073.0	0.0	150.0	54.0	49.766804559858784	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1	brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11337916.0	0.0	150.0	53.0	51.730466362226046	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_2	brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11337916.0	0.0	150.0	52.0	51.83631888918847	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1	brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11693146.0	0.0	150.0	52.0	53.97759976076654	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_2	brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11693146.0	0.0	150.0	52.0	53.905210707510335	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1	brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10484973.0	0.0	150.0	53.0	54.48592809018017	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_2	brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10484973.0	0.0	150.0	53.0	54.71843623579096	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	fail	fail
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1	brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10820635.0	0.0	150.0	53.0	55.17400071904108	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_2	brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10820635.0	0.0	150.0	53.0	55.846860728456036	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1	brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12227838.0	0.0	150.0	57.0	46.60049223299929	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_2	brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12227838.0	0.0	150.0	56.0	48.13462992873653	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1	brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14028622.0	0.0	150.0	54.0	19.97078092073999	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_2	brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14028622.0	0.0	150.0	54.0	22.86542956007491	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1	brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13780025.0	0.0	150.0	55.0	17.578055926767423	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_2	brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13780025.0	0.0	150.0	55.0	20.395455552177253	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1	brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69437750.0	0.0	150.0	52.0	46.943140690153044	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_2	brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69437750.0	0.0	150.0	52.0	47.06693779115667	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1	brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12044038.0	0.0	150.0	55.0	16.519229829908635	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_2	brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12044038.0	0.0	150.0	55.0	19.92157837775885	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1	brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54366157.0	0.0	150.0	53.0	40.68195889834652	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_2	brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54366157.0	0.0	150.0	52.0	40.95490207741604	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1	brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11303424.0	0.0	150.0	53.0	48.88289550367027	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_2	brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11303424.0	0.0	150.0	52.0	49.734304003948274	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1	brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12574598.0	0.0	150.0	52.0	57.81745416618067	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_2	brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12574598.0	0.0	150.0	51.0	57.46103312399398	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1	brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8866566.0	0.0	150.0	52.0	54.219388883953165	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_2	brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8866566.0	0.0	150.0	52.0	54.65600833586791	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1	brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11181753.0	0.0	150.0	56.0	44.119889524433844	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_2	brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11181753.0	0.0	150.0	56.0	44.35749492233693	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1	brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12381297.0	0.0	150.0	52.0	55.01135159188377	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_2	brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12381297.0	0.0	150.0	51.0	54.98192962314691	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1	brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11243550.0	0.0	150.0	52.0	53.68037667745943	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_2	brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11243550.0	0.0	150.0	51.0	53.34923676624137	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
